sim_time,cmd_speed,pos_x,pos_y,pos_z,qx,qy,qz,qw,p0,p1,p2,p3,v0,v1,v2,v3
20.803,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,824.5237935690259,824.5237935690259,-824.5237935690259,-824.5237935690259,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.823,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,832.5229935690252,832.5229935690252,-832.5229935690252,-832.5229935690252,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.843,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,840.5221935690245,840.5221935690245,-840.5221935690245,-840.5221935690245,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.863,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,848.5213935690238,848.5213935690238,-848.5213935690238,-848.5213935690238,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.883,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,856.520593569023,856.520593569023,-856.520593569023,-856.520593569023,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.903,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,864.5197935690223,864.5197935690223,-864.5197935690223,-864.5197935690223,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.923000000000002,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,872.5189935690216,872.5189935690216,-872.5189935690216,-872.5189935690216,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.943,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,880.5181935690209,880.5181935690209,-880.5181935690209,-880.5181935690209,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.963,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,888.5173935690202,888.5173935690202,-888.5173935690202,-888.5173935690202,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
20.983,0.25,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,896.5165935690195,896.5165935690195,-896.5165935690195,-896.5165935690195,399.9599999999992,399.9599999999992,-399.9599999999992,-399.9599999999992
