theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
36.00000000,-50.00000000,37.46093530,1.04058154,0.00000000
37.00000000,-50.00000000,38.00436962,1.02714512,0.00000000
38.00000000,-50.00000000,38.60865447,1.01601722,0.00000000
39.00000000,-50.00000000,39.27404963,1.00702691,0.00000000
40.00000000,-50.00000000,40.00000000,1.00000000,0.00000000
0.00000000,-49.00000000,40.06684110,inf,0.00000000
1.00000000,-49.00000000,39.82055817,39.82055817,0.00000000
2.00000000,-49.00000000,39.57535017,19.78767508,0.00000000
3.00000000,-49.00000000,39.33152841,13.11050947,0.00000000
4.00000000,-49.00000000,39.08943383,9.77235846,0.00000000
5.00000000,-49.00000000,38.84944045,7.76988809,0.00000000
6.00000000,-49.00000000,38.61195922,6.43532654,0.00000000
7.00000000,-49.00000000,38.37744222,5.48249175,0.00000000
8.00000000,-49.00000000,38.14638718,4.76829840,0.00000000
9.00000000,-49.00000000,37.91934242,4.21326027,0.00000000
10.00000000,-49.00000000,37.69691219,3.76969122,0.00000000
11.00000000,-49.00000000,37.47976254,3.40725114,0.00000000
12.00000000,-49.00000000,37.26862752,3.10571896,0.00000000
13.00000000,-49.00000000,37.06431606,2.85110124,0.00000000
14.00000000,-49.00000000,36.86771917,2.63340851,0.00000000
15.00000000,-49.00000000,36.67981775,2.44532118,0.00000000
16.00000000,-49.00000000,36.50169083,2.28135568,0.00000000
17.00000000,-49.00000000,36.33452424,2.13732496,0.00000000
18.00000000,-49.00000000,36.17961961,2.00997887,0.00000000
19.00000000,-49.00000000,36.03840360,1.89675808,0.00000000
20.00000000,-49.00000000,35.91243720,1.79562186,0.00000000
21.00000000,-49.00000000,35.80342482,1.70492499,0.00000000
22.00000000,-49.00000000,35.71322286,1.62332831,0.00000000
23.00000000,-49.00000000,35.64384730,1.54973249,0.00000000
24.00000000,-49.00000000,35.59747981,1.48322833,0.00000000
25.00000000,-49.00000000,35.57647160,1.42305886,0.00000000
26.00000000,-49.00000000,35.58334414,1.36859016,0.00000000
27.00000000,-49.00000000,35.62078570,1.31928836,0.00000000
28.00000000,-49.00000000,35.69164234,1.27470151,0.00000000
29.00000000,-49.00000000,35.79890196,1.23444490,0.00000000
30.00000000,-49.00000000,35.94566956,1.19818899,0.00000000
31.00000000,-49.00000000,36.13513216,1.16564942,0.00000000
32.00000000,-49.00000000,36.37051127,1.13657848,0.00000000
33.00000000,-49.00000000,36.65500159,1.11075762,0.00000000
34.00000000,-49.00000000,36.99169451,1.08799102,0.00000000
35.00000000,-49.00000000,37.38348604,1.06809960,0.00000000
36.00000000,-49.00000000,37.83296998,1.05091583,0.00000000
37.00000000,-49.00000000,38.34231876,1.03627889,0.00000000
38.00000000,-49.00000000,38.91315635,1.02403043,0.00000000
39.00000000,-49.00000000,39.54643039,1.01401104,0.00000000
40.00000000,-49.00000000,40.24229270,1.00605732,0.00000000
0.00000000,-48.00000000,40.56628449,inf,0.00000000
1.00000000,-48.00000000,40.33696724,40.33696724,0.00000000
2.00000000,-48.00000000,40.10820506,20.05410253,0.00000000
3.00000000,-48.00000000,39.88028419,13.29342806,0.00000000
4.00000000,-48.00000000,39.65351702,9.91337926,0.00000000
5.00000000,-48.00000000,39.42824551,7.88564910,0.00000000
6.00000000,-48.00000000,39.20484471,6.53414079,0.00000000
7.00000000,-48.00000000,38.98372681,5.56910383,0.00000000
8.00000000,-48.00000000,38.76534538,4.84566817,0.00000000
9.00000000,-48.00000000,38.55020008,4.28335556,0.00000000
10.00000000,-48.00000000,38.33884178,3.83388418,0.00000000
11.00000000,-48.00000000,38.13187815,3.46653438,0.00000000
12.00000000,-48.00000000,37.92997969,3.16083164,0.00000000
13.00000000,-48.00000000,37.73388632,2.90260664,0.00000000
14.00000000,-48.00000000,37.54441452,2.68174389,0.00000000
15.00000000,-48.00000000,37.36246492,2.49083099,0.00000000
16.00000000,-48.00000000,37.18903061,2.32431441,0.00000000
17.00000000,-48.00000000,37.02520579,2.17795328,0.00000000
18.00000000,-48.00000000,36.87219508,2.04845528,0.00000000
19.00000000,-48.00000000,36.73132311,1.93322753,0.00000000
20.00000000,-48.00000000,36.60404451,1.83020223,0.00000000
21.00000000,-48.00000000,36.49195396,1.73771209,0.00000000
22.00000000,-48.00000000,36.39679612,1.65439982,0.00000000
23.00000000,-48.00000000,36.32047514,1.57915109,0.00000000
24.00000000,-48.00000000,36.26506313,1.51104430,0.00000000
25.00000000,-48.00000000,36.23280724,1.44931229,0.00000000
26.00000000,-48.00000000,36.22613438,1.39331286,0.00000000
27.00000000,-48.00000000,36.24765270,1.34250566,0.00000000
