theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
3,3.1,1.60952071,3.23902591,2.87145103
3,3.15,1.65142671,3.2366774,2.91987961
3,3.2,1.69375501,3.23436741,2.96834314
3,3.25,1.73650883,3.23209529,3.01684056
3,3.3,1.7796916,3.22986039,3.06537086
3,3.35,1.82330689,3.22766206,3.11393305
3,3.4,1.86735849,3.22549966,3.16252619
3,3.45,1.91185035,3.22337253,3.21114936
3,3.5,1.95678658,3.22128004,3.25980167
3.5,1,0.275974088,3.93435659,0.889744975
3.5,1.05,0.301668445,3.93028722,0.935197997
3.5,1.1,0.328213345,3.92616098,0.98075928
3.5,1.15,0.35557586,3.92198894,1.02642825
3.5,1.2,0.38372487,3.91778146,1.07220402
3.5,1.25,0.412631088,3.91354818,1.11808543
3.5,1.3,0.442267049,3.90929801,1.16407109
3.5,1.35,0.472607096,3.90503916,1.21015938
3.5,1.4,0.503627333,3.90077915,1.25634853
3.5,1.45,0.535305581,3.89652484,1.30263662
3.5,1.5,0.567621315,3.89228247,1.34902162
3.5,1.55,0.600555598,3.88805768,1.3955014
3.5,1.6,0.634091012,3.88385553,1.44207375
3.5,1.65,0.668211584,3.87968057,1.48873643
3.5,1.7,0.702902711,3.87553683,1.53548714
3.5,1.75,0.738151084,3.8714279,1.58232359
3.5,1.8,0.773944618,3.86735693,1.62924345
3.5,1.85,0.810272378,3.86332668,1.67624441
3.5,1.9,0.847124508,3.85933952,1.72332419
3.5,1.95,0.884492171,3.85539752,1.77048049
3.5,2,0.922367478,3.85150242,1.81771109
3.5,2.05,0.960743432,3.8476557,1.86501376
3.5,2.1,0.999613871,3.84385856,1.91238635
3.5,2.15,1.03897341,3.84011198,1.95982672
3.5,2.2,1.07881741,3.83641674,2.0073328
3.5,2.25,1.11914189,3.83277342,2.05490256
3.5,2.3,1.15994352,3.82918243,2.10253403
3.5,2.35,1.20121959,3.82564404,2.15022527
3.5,2.4,1.24296792,3.82215836,2.19797442
3.5,2.45,1.28518688,3.8187254,2.24577967
3.5,2.5,1.32787531,3.81534504,2.29363925
3.5,2.55,1.37103255,3.81201709,2.34155145
3.5,2.6,1.41465834,3.80874124,2.38951461
3.5,2.65,1.45875285,3.80551714,2.43752715
3.5,2.7,1.50331664,3.80234435,2.4855875
3.5,2.75,1.54835064,3.79922239,2.53369417
3.5,2.8,1.5938561,3.79615071,2.58184571
3.5,2.85,1.63983464,3.79312873,2.63004072
3.5,2.9,1.68628816,3.79015583,2.67827784
3.5,2.95,1.73321888,3.78723136,2.72655578
3.5,3,1.78062928,3.78435464,2.77487327
3.5,3.05,1.82852212,3.78152498,2.82322909
3.5,3.1,1.87690044,3.77874166,2.87162207
3.5,3.15,1.9257675,3.77600395,2.92005108
3.5,3.2,1.97512682,3.77331111,2.96851502
3.5,3.25,2.02498213,3.77066239,3.01701284
3.5,3.3,2.0753374,3.76805703,3.06554351
3.5,3.35,2.12619682,3.76549429,3.11410607
3.5,3.4,2.17756478,3.76297341,3.16269955
3.5,3.45,2.22944588,3.76049363,3.21132304
3.5,3.5,2.2818449,3.7580542,3.25997566
4,1,0.315189138,4.49600874,0.88986842
4,1.05,0.344536905,4.49136646,0.935325617
4,1.1,0.374856443,4.48665916,0.980890879
4,1.15,0.406110145,4.48189946,1.02656364
4,1.2,0.438262469,4.47709919,1.07234302
4,1.25,0.471279957,4.47226934,1.11822786
4,1.3,0.505131237,4.46742007,1.16421677
4,1.35,0.539786993,4.46256075,1.21030816
4,1.4,0.575219922,4.45769996,1.25650025
4,1.45,0.611404681,4.45284555,1.30279113
4,1.5,0.648317813,4.44800462,1.34917878
4,1.55,0.685937676,4.44318362,1.39566106
4,1.6,0.724244361,4.43838833,1.4422358
4,1.65,0.763219607,4.43362394,1.48890074
4,1.7,0.80284672,4.42889506,1.53565359
4,1.75,0.843110481,4.42420579,1.58249207
4,1.8,0.883997072,4.41955972,1.62941386
4,1.85,0.925493984,4.41496001,1.67641665
4,1.9,0.967589948,4.41040939,1.72349815
4,1.95,1.01027485,4.4059102,1.7706561
4,2,1.05353966,4.40146444,1.81788826
4,2.05,1.09737638,4.3970738,1.86519241
4,2.1,1.14177795,4.39273967,1.91256641
4,2.15,1.1867382,4.38846316,1.96000811
4,2.2,1.23225181,4.38424517,2.00751546
4,2.25,1.27831424,4.38008637,2.05508642
4,2.3,1.32492166,4.37598723,2.10271903
4,2.35,1.37207094,4.37194804,2.15041136
4,2.4,1.41975961,4.36796897,2.19816154
4,2.45,1.46798576,4.36405,2.24596777
4,2.5,1.51674808,4.36019103,2.29382828
4,2.55,1.56604578,4.35639181,2.34174136
4,2.6,1.61587856,4.35265203,2.38970538
4,2.65,1.66624661,4.34897126,2.43771871
4,2.7,1.71715054,4.34534902,2.48577983
4,2.75,1.7685914,4.34178475,2.53388723
4,2.8,1.82057062,4.33827783,2.58203946
4,2.85,1.87309002,4.33482762,2.63023513
4,2.9,1.92615177,4.33143339,2.67847289
4,2.95,1.97975837,4.32809442,2.72675143
4,3,2.03391267,4.32480992,2.77506949
4,3.05,2.0886178,4.32157911,2.82342586
4,3.1,2.14387721,4.31840118,2.87181936
4,3.15,2.19969462,4.31527528,2.92024887
4,3.2,2.25607402,4.31220057,2.96871328
4,3.25,2.31301969,4.30917622,3.01721155
4,3.3,2.37053614,4.30620135,3.06574266
4,3.35,2.42862813,4.3032751,3.11430563
4,3.4,2.48730066,4.30039662,3.1628995
4,3.45,2.54655898,4.29756504,3.21152338
4,3.5,2.60640855,4.29477951,3.26017636
4.5,1,0.354320333,5.0575017,0.890008215
4.5,1.05,0.387314626,5.05228986,0.935470141
4.5,1.1,0.421401809,5.04700484,0.981039912
4.5,1.15,0.456539604,5.04166082,1.02671697
4.5,1.2,0.492688053,5.03627105,1.07250043
4.5,1.25,0.529809539,5.03084788,1.11838916
4.5,1.3,0.567868782,5.02540272,1.16438176
4.5,1.35,0.606832815,5.01994609,1.21047666
4.5,1.4,0.646670931,5.01448764,1.25667208
4.5,1.45,0.687354621,5.00903617,1.30296612
4.5,1.5,0.7288575,5.00359968,1.34935677
4.5,1.55,0.771155219,4.99818539,1.3958419
4.5,1.6,0.814225376,4.99279981,1.44241934
4.5,1.65,0.858047421,4.98744878,1.48908684
4.5,1.7,0.902602566,4.98213748,1.53584212
4.5,1.75,0.947873682,4.97687051,1.5826829
4.5,1.8,0.993845211,4.97165193,1.62960687
4.5,1.85,1.04050307,4.96648527,1.67661174
4.5,1.9,1.08783457,4.96137362,1.72369521
4.5,1.95,1.13582831,4.95631962,1.77085502
4.5,2,1.18447414,4.95132551,1.81808894
4.5,2.05,1.23376302,4.9463932,1.86539478
4.5,2.1,1.283687,4.94152425,1.91277036
4.5,2.15,1.33423914,4.93671993,1.96021358
4.5,2.2,1.38541343,4.93198124,2.00772236
4.5,2.25,1.43720473,4.92730894,2.05529469
4.5,2.3,1.48960873,4.92270358,2.10292859
4.5,2.35,1.5426219,4.91816548,2.15062215
4.5,2.4,1.59624142,4.91369483,2.1983735
4.5,2.45,1.65046515,4.90929163,2.24618084
4.5,2.5,1.70529159,4.90495574,2.29404241
4.5,2.55,1.76071982,4.90068693,2.3419565
4.5,2.6,1.81674951,4.89648482,2.38992147
4.5,2.65,1.87338084,4.89234894,2.43793572
4.5,2.7,1.93061448,4.88827877,2.48599771
4.5,2.75,1.98845159,4.88427366,2.53410593
4.5,2.8,2.04689378,4.88033295,2.58225895
4.5,2.85,2.10594305,4.87645588,2.63045537
4.5,2.9,2.16560185,4.87264168,2.67869384
4.5,2.95,2.22587296,4.86888951,2.72697306
4.5,3,2.28675957,4.8651985,2.77529177
4.5,3.05,2.34826519,4.86156778,2.82364876
4.5,3.1,2.41039367,4.85799642,2.87204286
4.5,3.15,2.47314919,4.8544835,2.92047293
