theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
1,3.95,0.794931054,1.06803166,3.69841864
1,4,0.811501258,1.06743719,3.74731962
1,4.05,0.828238666,1.06685205,3.79624186
1,4.1,0.845145284,1.06627607,3.84518477
1,4.15,0.862223171,1.06570906,3.89414782
1,4.2,0.879474436,1.06515084,3.94313044
1,4.25,0.896901237,1.06460123,3.99213211
1,4.3,0.914505785,1.06406008,4.04115234
1,4.35,0.93229034,1.06352719,4.09019063
1,4.4,0.950257216,1.06300241,4.13924651
1,4.45,0.968408778,1.06248559,4.18831952
1,4.5,0.986747443,1.06197655,4.23740921
1.5,0.1,0.00130899634,1.70728444,0.0878617877
1.5,0.15,0.00294083018,1.70696779,0.131817123
1.5,0.2,0.00521724958,1.70652742,0.175801504
1.5,0.25,0.00813029851,1.70596622,0.219824149
1.5,0.3,0.011670013,1.70528779,0.263893893
1.5,0.35,0.0158246049,1.70449639,0.308019114
1.5,0.4,0.0205806711,1.70359686,0.352207663
1.5,0.45,0.0259234206,1.70259455,0.396466814
1.5,0.5,0.0318369111,1.7014952,0.440803222
1.5,0.55,0.0383042898,1.70030487,0.485222895
1.5,0.6,0.0453080286,1.69902987,0.529731179
1.5,0.65,0.0528301508,1.69767663,0.574332751
1.5,0.7,0.0608524432,1.69625168,0.619031628
1.5,0.75,0.0693566498,1.69476151,0.663831183
1.5,0.8,0.0783246461,1.69321256,0.708734165
1.5,0.85,0.0877385908,1.69161113,0.753742729
1.5,0.9,0.0975810556,1.68996334,0.798858475
1.5,0.95,0.107835134,1.6882751,0.84408248
1.5,1,0.118484526,1.68655205,0.889415344
1.5,1.05,0.12951361,1.68479958,0.934857226
1.5,1.1,0.14090749,1.68302277,0.980407893
1.5,1.15,0.152652027,1.68122638,1.02606675
1.5,1.2,0.164733865,1.67941488,1.07183291
1.5,1.25,0.177140436,1.67759242,1.11770517
1.5,1.3,0.189859955,1.67576283,1.16368213
1.5,1.35,0.202881419,1.67392965,1.20976216
1.5,1.4,0.216194579,1.67209611,1.25594348
1.5,1.45,0.229789926,1.67026517,1.30222413
1.5,1.5,0.243658663,1.6684395,1.34860207
1.5,1.55,0.257792677,1.66662153,1.39507516
1.5,1.6,0.272184504,1.66481343,1.44164116
1.5,1.65,0.286827304,1.66301715,1.48829782
1.5,1.7,0.301714824,1.66123443,1.53504282
1.5,1.75,0.316841368,1.65946681,1.58187385
1.5,1.8,0.332201764,1.65771562,1.62878858
